model,source_feature,target_feature,source_name,target_name,source_modality,target_modality,prior,gradient,occlusion,permutation
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000018437,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pfn1,metabolomics,proteomics,0.0,0.002760560967272609,0.0028460068414082242,0.0028593684776473762
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000020315,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cand1,metabolomics,proteomics,0.0,9.221880362736592e-05,9.517274913082155e-05,9.63812228748743e-05
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000020702,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Igfbp3,metabolomics,proteomics,0.0,0.0028598866091644093,0.0029560583809814856,0.003001737154192099
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000020759,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Efemp1,metabolomics,proteomics,0.0,0.005533387449735212,0.005686365894844235,0.005777410893887417
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000021495,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Serpina5,metabolomics,proteomics,0.0,0.003269139585931719,0.003368356879454843,0.0034154813923560753
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000021750,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Ryr2,metabolomics,proteomics,0.0,0.0016710632871200946,0.0017157445577646356,0.001742144072089238
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000021773,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Gpld1,metabolomics,proteomics,0.0,0.0024268391620664645,0.0024676555309142987,0.0025051766999612786
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000021948,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F12,metabolomics,proteomics,0.0,0.002169402442499079,0.0022147675565990788,0.002238142272044731
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000022576,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cpb2,metabolomics,proteomics,0.0,0.0038246984041465297,0.003880721880855859,0.003941000857392618
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000022616,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Clu,metabolomics,proteomics,0.0,0.005647111950187986,0.005768711487722866,0.005885351297951918
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000022749,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",C9,metabolomics,proteomics,0.0,0.0015330950777979516,0.001558908899497178,0.0015770940534635509
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023450,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Serpind1,metabolomics,proteomics,0.0,0.010192064408830474,0.010385589770964546,0.010422799869126424
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023486,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Tfrc,metabolomics,proteomics,0.0,0.003614456618024387,0.0036350637600788597,0.0037120388722647214
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023583,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Ahsg,metabolomics,proteomics,0.0,0.0011551715245627535,0.001180457358329574,0.0011974152233048473
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023589,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Kng1,metabolomics,proteomics,0.0,0.0027815023661207157,0.0028765700176874333,0.002892801137995225
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023590,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Hrg,metabolomics,proteomics,0.0,0.0026974277629157163,0.0027444912319204914,0.0027682405127959736
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023593,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Adipoq,metabolomics,proteomics,0.0,0.0020827502392716003,0.002093652204198299,0.0021353811306993498
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023629,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pros1,metabolomics,proteomics,0.0,0.002386291182897133,0.002462958966792811,0.0024977105382247814
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023965,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cfhr1,metabolomics,proteomics,0.0,0.00042886322261978825,0.0004268221260112523,0.00044013855171321013
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000023994,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Serping1,metabolomics,proteomics,0.0,0.005133438242660275,0.0052022797788003165,0.005286917281869555
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000024988,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",C3,metabolomics,proteomics,0.0,0.0071817016789249245,0.0073580219568070105,0.007405014582254043
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000025229,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cfb,metabolomics,proteomics,0.0,0.004885871982065808,0.0049533401461903295,0.005008251558751924
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000025230,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",C2,metabolomics,proteomics,0.0,0.0038080489356326747,0.0038661453897222493,0.0039399296020846825
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000025249,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Apom,metabolomics,proteomics,0.0,0.0016500465128449118,0.001689824964127488,0.001719060909943542
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000025462,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Rbfa,metabolomics,proteomics,0.0,0.006964622368007431,0.0070915292702349265,0.007155982395328557
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000025797,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Mbl2,metabolomics,proteomics,0.0,0.0002941563687529314,0.00029962239562248495,0.0003018466614775775
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000025951,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Rbp4,metabolomics,proteomics,0.0,0.00215580872205634,0.002195805936953421,0.002220604634487368
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000026210,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cpn1,metabolomics,proteomics,0.0,0.004379546285463615,0.004458826789798109,0.004547391486959447
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000026472,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Inhbc,metabolomics,proteomics,0.0,0.0004684564082349922,0.0004762326008028944,0.0004852113831661915
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000026499,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Crisp3,metabolomics,proteomics,0.0,0.0030461503627585316,0.003154923727453026,0.003214272239964487
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000026890,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Clec3b,metabolomics,proteomics,0.0,0.004425387037670807,0.004488238900791614,0.0045410822939990735
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000026907,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Klkb1,metabolomics,proteomics,0.0,0.005110046375754815,0.0052155235181313726,0.005258881049851647
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000027615,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F13b,metabolomics,proteomics,0.0,0.006144582448179183,0.006330431844084203,0.006430417268812132
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000027657,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",C4bp,metabolomics,proteomics,0.0,0.0012725229730561737,0.0012915394154681063,0.0013121169561358668
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000027675,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pigr,metabolomics,proteomics,0.0,0.0006444301633585582,0.0006489402841633411,0.0006593088432415085
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000027824,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Apcs,metabolomics,proteomics,0.0,0.0007689047580542792,0.0007898370710049529,0.00079954173810713
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000027871,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Sell,metabolomics,proteomics,0.0,0.0017884946236561543,0.001838440333966324,0.0018534603068652974
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028179,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Fcnb,metabolomics,proteomics,0.0,0.0060708674570493625,0.0062513447952464544,0.006280595439414408
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028233,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Hc,metabolomics,proteomics,0.0,0.0136199690352272,0.013931502306831111,0.014109639661544403
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028239,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Gsn,metabolomics,proteomics,0.0,0.00311545179462423,0.003203233509143886,0.00325992014217711
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028668,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Eif3j1,metabolomics,proteomics,0.0,0.0027361807791030836,0.0028291507496055273,0.0028599674413217276
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028681,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",F2,metabolomics,proteomics,0.0,0.003906414615272066,0.004006780656293592,0.004029555686156791
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028781,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Atrn,metabolomics,proteomics,0.0,0.008558492631047415,0.008807791653588607,0.008926331839415368
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000028938,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cst3,metabolomics,proteomics,0.0,0.003489712918252919,0.003564692277428386,0.003604461763570091
