source_node,target_node,relationship,database,evidence,confidence,reference,via
A0A075B5Q5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV2-9,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Q6;A0A0A6YVS4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV5-9-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Q9;A0A0A6YWC7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV5-15,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R0;A0A0B4J1P4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV5-16,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R1,immunoglobulin,protein_to_pathway,name_rules,gene IGHV5-17,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV7-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV14-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R4;A0A075B5R7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV14-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV4-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R6;A0A075B5R8,immunoglobulin,protein_to_pathway,name_rules,gene IGHV11-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV14-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5R9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV14-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5S1;A0A0B4J1P3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV9-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5S2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV7-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5S3;A0A0A6YVR1,immunoglobulin,protein_to_pathway,name_rules,gene IGHV14-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5S5;A0A0A6YXL5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV7-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5S9;A0A0A6YWH6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV9-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV6-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV6-6,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T4;A0A075B5T7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-5,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV10-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T6;A0A0B4J1J6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV10-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-7,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5T9;A0A0A6YW37,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-9,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5U0,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-12,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5U5;A0A0A6YWX0,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-19,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5U6;A0A0A6YX66,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-20,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5U7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-22,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V0,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-26,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V1,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-31,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V1;A0A075B5V6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-31,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-34,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V3;A0A0A6YXT2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-36,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-39,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-42,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5V8,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-47,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5W1;A0A075B5X7;A0A0G2JFS5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-50,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5W2;A0A0A6YXC3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-52,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5W3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-53,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5W5,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-54,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5W6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-55,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5W7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-56,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5X0;A0A0A6YXE0,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-59,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5X3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-64,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5X4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV8-11,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5X6;A0A0G2JFN9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-67,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Y1;A0A0G2JGK2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-74,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Y2,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-75,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Y3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-80,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Y4,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-81,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Y6,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-85,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B663,immunoglobulin,protein_to_pathway,name_rules,gene IGLV1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B664,immunoglobulin,protein_to_pathway,name_rules,gene IGLV2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B666,immunoglobulin,protein_to_pathway,name_rules,gene IGKV13-85,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B674,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-78,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B674;A0A0G2JGN3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-78,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B677,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-53,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B680,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-62-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B680;A0A0A6YXZ4;A0A0G2JFL3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-62-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B684,immunoglobulin,protein_to_pathway,name_rules,gene IGHV1-62-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B696,immunoglobulin,protein_to_pathway,name_rules,gene IGHV2-3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B697,immunoglobulin,protein_to_pathway,name_rules,gene IGHV2-9-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B6A3,immunoglobulin,protein_to_pathway,name_rules,gene IGHA,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B6A3;A0A0A6YXW6,immunoglobulin,protein_to_pathway,name_rules,gene IGHA,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B6A7,immunoglobulin,protein_to_pathway,name_rules,gene IGHV2-6,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B6D5;A0A0G2JFZ3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV19-93,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A087WPN7;A0A0A6YWN3,immunoglobulin,protein_to_pathway,name_rules,gene IGHV13-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A0MQC1,immunoglobulin,protein_to_pathway,name_rules,gene IGHV3-5,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A0A6YW14;A0A0A6YXD7,immunoglobulin,protein_to_pathway,name_rules,gene IGHD,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
